"Team","Abbreviation","Conference"
"Washington Wizards","WAS","East"
"Utah Jazz","UTA","West"
"Toronto Raptors","TOR","East"
"San Antonio Spurs","SAS","West"
"Sacramento Kings","SAC","West"
"Portland Trail Blazers","POR","West"
"Phoenix Suns","PHX","West"
"Philadelphia 76ers","PHI","East"
"Orlando Magic","ORL","East"
"Oklahoma City Thunder","OKC","West"
"New York Knicks","NYK","East"
"New Orleans Pelicans","NOP","West"
"Minnesota Timberwolves","MIN","West"
"Milwaukee Bucks","MIL","East"
"Miami Heat","MIA","East"
"Memphis Grizzlies","MEM","West"
"Los Angeles Lakers","LAL","West"
"Los Angeles Clippers","LAC","West"
"Indiana Pacers","IND","East"
"Houston Rockets","HOU","West"
"Golden State Warriors","GSW","West"
"Detroit Pistons","DET","East"
"Denver Nuggets","DEN","West"
"Dallas Mavericks","DAL","West"
"Cleveland Cavaliers","CLE","East"
"Chicago Bulls","CHI","East"
"Charlotte Hornets","CHA","East"
"Brooklyn Nets","BKN","East"
"Boston Celtics","BOS","East"
"Atlanta Hawks","ATL","East"
